指标名称,中国:CPI:环比,中国:PPI:全部工业品:环比,中国:PMI,中国:M0:同比,中国:M1:同比,中国:M2:同比,中国:投资者信心指数:总指数,中国中小企业信心指数,中国:公共财政收入:当月值,中国:城镇新增就业人数:累计同比,中国:社会消费品零售总额:当月同比,中国:金融机构:各项贷款余额:同比,中国:CGPI:当月同比
2012-01-01,1.5,-0.07,50.5,3,3.1,12.4,53.9,,12912.58,,13.1,15,101.3
2012-02-01,-0.1,0.14,51,8.8,4.3,13,53.2,,8005.7,,16.4,15.2,100.6
2012-03-01,0.2,0.27,53.1,10.6,4.4,13.4,57,57.63,9057.97,,15.2,15.7,100.3
2012-04-01,-0.1,0.16,53.3,10.4,3.1,12.8,52.5,,10774,,14.1,15.4,99.9
2012-05-01,-0.3,-0.37,50.4,10,3.5,13.2,54.1,,12005,,13.8,15.7,98.9
2012-06-01,-0.6,-0.73,50.2,10.8,4.7,13.6,45.5,54.15,11040,,13.7,16,97.5
2012-07-01,0.1,-0.77,50.1,10,4.6,13.9,41.3,,10672,,13.1,16,96.3
2012-08-01,0.6,-0.52,49.2,9.7,4.5,13.5,42.5,,7863,,13.2,16.1,96.1
2012-09-01,0.3,-0.06,49.8,13.3,7.3,14.8,46.9,46.71,8258,,14.2,16.3,96.2
2012-10-01,-0.1,0.16,50.2,10.5,6.1,14.1,53.5,,10444,,14.5,15.9,97.3
2012-11-01,0.1,-0.12,50.6,10.7,5.5,13.9,49.6,,7871,,14.9,15.7,98
2012-12-01,0.8,-0.06,50.6,7.7,6.5,13.8,50.5,47.28,8306.7,3.69,15.2,15,98.4
2013-01-01,1.01,0.24,50.4,4.4,15.3,15.9,62.8,,13655.86,,13.8,15.4,98.9
2013-02-01,1.06,0.15,50.1,17.2,9.5,15.2,61.7,,8770.14,,12.3,15,98.9
2013-03-01,-0.91,-0.03,50.9,12.4,11.9,15.7,56.8,56.51,9608,,12.6,14.9,98.3
2013-04-01,0.24,-0.55,50.6,10.8,11.9,16.1,52,,11430.81,,12.8,14.9,97.9
2013-05-01,-0.56,-0.62,50.8,10.8,11.3,15.8,54.5,,12748.85,,12.89,14.5,97.7
2013-06-01,0,-0.55,50.1,9.9,9.1,14,45.1,52.04,12376.97,,13.31,14.2,98.1
2013-07-01,0.1,-0.33,50.3,9.5,9.7,14.5,44.4,,11848.61,,13.21,14.3,98.8
2013-08-01,0.47,0.14,51,9.3,9.9,14.7,49.7,,8588.17,,13.37,14.1,99.3
2013-09-01,0.81,0.23,51.1,5.7,8.9,14.2,58.5,53.13,9361.73,,13.31,14.3,99.6
2013-10-01,0.06,0,51.4,8,8.9,14.3,58.1,,12136.41,,13.32,14.2,99.7
2013-11-01,-0.06,-0.03,51.4,7.7,9.4,14.2,55.6,,9124.96,,13.72,14.2,99.6
2013-12-01,0.28,0.01,51,7.1,9.3,13.6,55.6,50.37,9492.6,3.48,13.6,14.1,99.3
