Date,SSE50,CSI300,CSI500
2012/1/4,1595.12,2298.75,3192.23
2012/1/5,1596.59,2276.39,3074.37
2012/1/6,1608.36,2290.6,3087.55
2012/1/9,1659.05,2368.57,3212.9
2012/1/10,1704.74,2447.35,3345.39
2012/1/11,1694.26,2435.61,3346.74
2012/1/12,1701.45,2435.22,3345.81
2012/1/13,1685.91,2394.33,3233.7
2012/1/16,1661.99,2345.65,3130.56
2012/1/17,1736.61,2460.6,3304.88
2012/1/18,1714.7,2422.19,3237.85
2012/1/19,1750.52,2468.35,3270.77
2012/1/20,1775.09,2504.09,3315.6
2012/1/30,1742.82,2460.72,3292.41
2012/1/31,1744.71,2464.26,3294.49
2012/2/1,1713.68,2428.99,3266.23
2012/2/2,1761.94,2486.24,3328.15
2012/2/3,1772.19,2506.09,3383.05
2012/2/6,1764.82,2504.32,3412.41
2012/2/7,1732.02,2457.95,3356.84
2012/2/8,1782.06,2528.24,3445.52
2012/2/9,1778.1,2529.23,3469.85
2012/2/10,1778.32,2533.62,3488.23
2012/2/13,1768.54,2531.98,3519.88
2012/2/14,1758.98,2522.11,3524.63
2012/2/15,1773.17,2549.61,3578.15
2012/2/16,1761.88,2536.07,3577.2
2012/2/17,1765.65,2537.09,3565.31
2012/2/20,1769.41,2540.71,3574.46
2012/2/21,1779.94,2562.45,3618.3
2012/2/22,1795.26,2597.48,3689
2012/2/23,1799.64,2606.26,3700.89
2012/2/24,1826.72,2648.02,3756.83
2012/2/27,1828.41,2656.57,3764.33
2012/2/28,1839.06,2662.46,3745.58
2012/2/29,1822.77,2634.14,3696.14
2012/3/1,1818.28,2633.35,3715.67
2012/3/2,1843.85,2679.93,3794.42
2012/3/5,1827.94,2662.7,3798.38
2012/3/6,1794.26,2621.05,3760.59
2012/3/7,1776.36,2603.01,3732.71
2012/3/8,1798.1,2635.79,3791.83
2012/3/9,1811.49,2664.3,3848.11
2012/3/12,1796.94,2654.4,3871.12
2012/3/13,1813.2,2681.07,3910.06
2012/3/14,1776.41,2605.11,3734.32
2012/3/15,1760.48,2585.55,3689.01
2012/3/16,1780.08,2623.52,3786.62
2012/3/19,1778.98,2630.01,3829.7
2012/3/20,1755.73,2584.45,3746.28
2012/3/21,1758.62,2587.79,3760.05
2012/3/22,1760.34,2583.75,3742.39
2012/3/23,1747.92,2552.94,3670.13
2012/3/26,1749.89,2555.44,3666.28
2012/3/27,1749.19,2547.14,3652.88
2012/3/28,1708.85,2474.9,3490.01
2012/3/29,1688.09,2443.12,3425.7
2012/3/30,1705.63,2454.9,3416.86
2012/4/5,1735.28,2512.83,3531.55
2012/4/6,1737.51,2519.83,3554.03
2012/4/9,1721.43,2495.15,3512.91
2012/4/10,1736.24,2519.79,3554.04
2012/4/11,1734.59,2520.04,3566.48
2012/4/12,1770.95,2570.44,3640.41
2012/4/13,1777.07,2580.45,3675.03
2012/4/16,1770.68,2574.04,3685.48
2012/4/17,1749.4,2541.88,3631.56
2012/4/18,1789.63,2599.91,3714.02
2012/4/19,1791.38,2596.06,3704.71
2012/4/20,1815.88,2626.84,3736.37
2012/4/23,1799.91,2606.04,3691.57
2012/4/24,1808.86,2604.87,3666.4
2012/4/25,1819.22,2625.99,3718.91
2012/4/26,1822.21,2631.49,3700.03
2012/4/27,1822.54,2626.16,3664.64
2012/5/2,1862.76,2683.49,3718.26
2012/5/3,1864.3,2691.52,3733.82
2012/5/4,1876.66,2715.88,3758
2012/5/7,1866.62,2717.78,3784.56
2012/5/8,1862.4,2709.12,3783.47
2012/5/9,1830.13,2657.51,3717.47
2012/5/10,1829.61,2657.21,3731.13
2012/5/11,1815.73,2636.92,3715.39
2012/5/14,1800.5,2615.53,3710.1
2012/5/15,1801.06,2617.37,3705.88
2012/5/16,1774.24,2574.65,3660.31
2012/5/17,1801.11,2613.94,3714.19
2012/5/18,1775.57,2573.98,3655.86
2012/5/21,1784.94,2587.23,3653.55
2012/5/22,1810.41,2627.53,3711.06
2012/5/23,1801.47,2616.87,3708.92
2012/5/24,1789.43,2595.26,3678.09
2012/5/25,1776.38,2573.1,3635.52
2012/5/28,1800.91,2614.69,3687.46
2012/5/29,1824.43,2650.85,3745.68
2012/5/30,1818.39,2642.26,3752.22
2012/5/31,1804.59,2632.04,3753.59
2012/6/1,1808.53,2633,3744.44
2012/6/4,1760.96,2559.03,3621.81
2012/6/5,1763.7,2558.84,3617.61
2012/6/6,1768.58,2557.4,3600.16
2012/6/7,1757.77,2542.18,3581.14
2012/6/8,1738.59,2524.33,3564.16
2012/6/11,1756.03,2558.27,3630.31
2012/6/12,1745.45,2540.18,3608.39
2012/6/13,1771.42,2580.64,3674.88
2012/6/14,1756.3,2560.42,3652.71
2012/6/15,1769.49,2568.05,3648.99
2012/6/18,1776.24,2581.21,3684.73
2012/6/19,1764.88,2558.62,3657.96
2012/6/20,1763.63,2552.61,3636.09
2012/6/21,1735.34,2512.19,3590.84
2012/6/25,1704.57,2456.52,3493.12
2012/6/26,1700.5,2454.92,3489.97
2012/6/27,1695.03,2447.2,3476.4
2012/6/28,1681.38,2425.73,3427.82
2012/6/29,1708.86,2461.61,3470.97
2012/7/2,1706.17,2465.24,3509.5
2012/7/3,1710.41,2468.72,3515.78
2012/7/4,1712.94,2464.92,3497.75
2012/7/5,1695.36,2430.37,3418.2
2012/7/6,1711.58,2472.61,3486.55
2012/7/9,1668.02,2416.04,3398.81
2012/7/10,1664.42,2406.71,3365.67
2012/7/11,1672.25,2425.57,3404.1
2012/7/12,1680.05,2449.18,3450.3
2012/7/13,1685.02,2450.63,3435.08
2012/7/16,1657.62,2399.73,3311.09
2012/7/17,1669.71,2414.2,3334.29
2012/7/18,1665.87,2414.34,3352.85
2012/7/19,1674.27,2424.32,3392.66
2012/7/20,1658.3,2398.46,3369.91
2012/7/23,1629.07,2365.43,3337.86
2012/7/24,1632.95,2375.99,3361.09
2012/7/25,1627.96,2360.08,3332.09
2012/7/26,1624.46,2347.49,3302.34
2012/7/27,1630.31,2349.11,3283.59
2012/7/30,1625.64,2335.79,3217.45
2012/7/31,1631.89,2332.92,3159.19
2012/8/1,1645.62,2358.65,3216.18
2012/8/2,1634.55,2334.88,3195.86
2012/8/3,1641.6,2353.74,3259.86
2012/8/6,1658.37,2385.61,3337.27
2012/8/7,1657.91,2388.87,3368.25
2012/8/8,1662.77,2389.8,3356.49
2012/8/9,1671.95,2411.7,3405.06
2012/8/10,1665.18,2399.75,3395.85
2012/8/13,1632,2351.93,3318.1
2012/8/14,1633.14,2357.02,3349.59
2012/8/15,1610.41,2331.62,3310.84
2012/8/16,1605.28,2319.67,3286.83
2012/8/17,1606,2313.48,3286.78
2012/8/20,1596.2,2301.79,3289.44
2012/8/21,1598.5,2313.7,3335.75
2012/8/22,1591.33,2295.59,3306.11
2012/8/23,1596.57,2302.2,3327.99
2012/8/24,1588.11,2275.68,3265.75
2012/8/27,1557.17,2228.2,3184.33
2012/8/28,1570.44,2238.41,3200.99
2012/8/29,1554.4,2214.81,3179.54
2012/8/30,1560.29,2211.37,3129.5
2012/8/31,1551.2,2204.87,3139.5
2012/9/3,1560.08,2228.37,3200.31
2012/9/4,1548.04,2204.41,3164.83
